player_id,name_full,r,rbi,hr,sb,ba,score
543760,"Semien, Marcus",0.982905982905983,0.9622641509433962,1.0,0.375,0.869884620747351,0.838010950919346
645277,"Albies, Ozzie",0.8803418803418804,1.0,0.6666666666666667,0.5,0.8495718311894783,0.779316075639605
593160,"Merrifield, Whit",0.8290598290598291,0.6981132075471698,0.22222222222222224,1.0,0.908474808324206,0.7315740134306854
593871,"Polanco, Jorge",0.8290598290598291,0.9245283018867925,0.7333333333333334,0.275,0.880933055040198,0.7285709038640306
664040,"Lowe, Brandon",0.8290598290598291,0.9339622641509434,0.8666666666666667,0.17500000000000002,0.8088785046728972,0.7227134529100672
514888,"Altuve, Jose",1.0,0.7830188679245282,0.6888888888888889,0.125,0.9109722432309787,0.7015760000088791
669242,"Edman, Tommy",0.7777777777777779,0.5283018867924528,0.24444444444444446,0.75,0.8592398241384203,0.6319527866306192
663697,"India, Jonathan",0.8376068376068377,0.6509433962264151,0.4666666666666667,0.30000000000000004,0.8812265037593987,0.6272886808518636
641857,"McMahon, Ryan",0.6837606837606838,0.8113207547169811,0.5111111111111112,0.15000000000000002,0.8320204889807163,0.5976426077138984
500871,"Escobar, Eduardo",0.6581196581196582,0.8490566037735848,0.6222222222222222,0.025,0.8300525749296241,0.5968902118090178
630105,"Cronenworth, Jake",0.8034188034188035,0.6698113207547169,0.4666666666666667,0.1,0.8730860189193523,0.582596561951908
665862,"Chisholm Jr., Jazz",0.5982905982905984,0.5,0.4,0.5750000000000001,0.812536735893417,0.5771654668368031
664034,"France, Ty",0.7264957264957266,0.6886792452830188,0.4,0.0,0.9530926604043942,0.5536535264366279
516416,"Segura, Jean",0.6495726495726496,0.5471698113207547,0.3111111111111111,0.225,0.950355942695437,0.5366419029399905
543939,"Wong, Kolten",0.5982905982905984,0.4716981132075472,0.3111111111111111,0.30000000000000004,0.891432584269663,0.5145064813757839
514917,"Hernandez, Cesar",0.7179487179487181,0.5849056603773585,0.4666666666666667,0.025,0.7592105263157896,0.5107463142617066
624428,"Frazier, Adam",0.7094017094017094,0.40566037735849053,0.11111111111111112,0.25,1.0,0.4952346395742622
518934,"LeMahieu, DJ",0.7179487179487181,0.5377358490566038,0.22222222222222224,0.1,0.8786356022536927,0.4913084782962474
543281,"Harrison, Josh",0.4957264957264958,0.5660377358490566,0.17777777777777778,0.225,0.9153577857785781,0.4759799590263817
664058,"Fletcher, David",0.6324786324786326,0.4433962264150943,0.044444444444444446,0.375,0.8588803369154808,0.47083992805073044
527038,"Flores, Wilmer",0.4871794871794872,0.5,0.4,0.025,0.8596342603412013,0.4543627495041377
543543,"Miller, Brad",0.45299145299145305,0.46226415094339623,0.4444444444444445,0.07500000000000001,0.7428419390277398,0.43550839748140674
663898,"Rodgers, Brendan",0.41880341880341887,0.4811320754716981,0.33333333333333337,0.0,0.9318475452196383,0.43302327456561773
669256,"Solak, Nick",0.4871794871794872,0.46226415094339623,0.24444444444444446,0.17500000000000002,0.7945489281460898,0.43268740214268353
664238,"Moore, Dylan",0.35897435897435903,0.40566037735849053,0.26666666666666666,0.525,0.5924835706462213,0.42975699472914747
643393,"Kemp, Tony",0.46153846153846156,0.3490566037735849,0.17777777777777778,0.2,0.9139807162534437,0.42047071186865353
650489,"Castro, Willi",0.4786324786324787,0.3584905660377358,0.2,0.225,0.7223613251155625,0.3968968739571554
650333,"Arraez, Luis",0.4957264957264958,0.3962264150943396,0.044444444444444446,0.05,0.9651391248937978,0.3903072960318156
666158,"Lux, Gavin",0.41880341880341887,0.43396226415094336,0.15555555555555556,0.1,0.792689959294437,0.38020223956087096
444876,"Escobar, Alcides",0.45299145299145305,0.2641509433962264,0.08888888888888889,0.07500000000000001,0.9454972926759762,0.36530571559050895
643446,"McNeil, Jeff",0.4102564102564103,0.330188679245283,0.15555555555555556,0.07500000000000001,0.8238489166274141,0.3589699123369326
607054,"Peterson, Jace",0.3076923076923077,0.29245283018867924,0.13333333333333333,0.25,0.8101088101088102,0.35871745626462614
602104,"Urias, Ramon",0.2820512820512821,0.3584905660377358,0.15555555555555556,0.025,0.9134498612074949,0.34690945297041365
596059,"Odor, Rougned",0.35897435897435903,0.36792452830188677,0.33333333333333337,0.0,0.6617906549971768,0.3444045751213512
456781,"Solano, Donovan",0.2991452991452992,0.29245283018867924,0.15555555555555556,0.05,0.9183816997334914,0.34310707692460507
649557,"Diaz, Aledmys",0.23931623931623935,0.4245283018867924,0.17777777777777778,0.0,0.8474799010513298,0.33782044400642786
608686,"Mayfield, Jack",0.25641025641025644,0.36792452830188677,0.22222222222222224,0.125,0.714841079972659,0.3372796173814049
605612,"Castro, Harold",0.2991452991452992,0.3490566037735849,0.06666666666666667,0.025,0.9262806637806639,0.33322984667324296
663611,"Madrigal, Nick",0.25641025641025644,0.1981132075471698,0.044444444444444446,0.025,0.9999147727272728,0.3047765362258287
642165,"VanMeter, Josh",0.22222222222222224,0.33962264150943394,0.13333333333333333,0.07500000000000001,0.6939698075646982,0.2928296009259375
600303,"La Stella, Tommy",0.22222222222222224,0.25471698113207547,0.15555555555555556,0.0,0.8196022727272728,0.2904194063274252
624414,"Arroyo, Christian",0.18803418803418806,0.2358490566037736,0.13333333333333333,0.025,0.8595828713968959,0.2883598898736382
663538,"Hoerner, Nico",0.11111111111111112,0.1509433962264151,0.0,0.125,0.9901235509456987,0.275435611656645
665155,"Maton, Nick",0.13675213675213677,0.1320754716981132,0.044444444444444446,0.05,0.8406177156177156,0.24077795370248198
