player_id,name_full,primary_position,r,rbi,hr,sb,ba,score
608070,"Ramirez, Jose",5,0.902439024390244,0.8512396694214877,0.75,0.5744680851063829,0.266304347826087,0.6688902253488402
665489,"Guerrero Jr., Vladimir",3,1.0,0.9173553719008265,1.0,0.0851063829787234,0.31125827814569534,0.6627440066050491
543760,"Semien, Marcus",4,0.934959349593496,0.8429752066115703,0.9375,0.3191489361702128,0.26533742331288346,0.6599841831376325
665487,"Tatis Jr., Fernando",6,0.8048780487804879,0.8016528925619835,0.875,0.5319148936170213,0.2824267782426778,0.6591745226404341
666182,"Bichette, Bo",6,0.9837398373983741,0.8429752066115703,0.6041666666666666,0.5319148936170213,0.2984375,0.6522468208587264
607208,"Turner, Trea",6,0.8699186991869919,0.6363636363636364,0.5833333333333333,0.6808510638297872,0.3277310924369748,0.6196395650301448
645277,"Albies, Ozzie",4,0.83739837398374,0.8760330578512396,0.625,0.425531914893617,0.2591414944356121,0.6046209682328418
521692,"Perez, Salvador",2,0.7154471544715448,1.0,1.0,0.02127659574468085,0.2725806451612903,0.6018608790755032
646240,"Devers, Rafael",5,0.821138211382114,0.9338842975206612,0.7916666666666666,0.10638297872340426,0.27918781725888325,0.5864519943103458
606192,"Hernandez, Teoscar",OF,0.7479674796747968,0.9586776859504132,0.6666666666666666,0.2553191489361702,0.2963636363636364,0.5849989235183366
621566,"Olson, Matt",3,0.821138211382114,0.9173553719008265,0.8125,0.0851063829787234,0.27079646017699116,0.581379285287731
502671,"Goldschmidt, Paul",3,0.8292682926829269,0.8181818181818182,0.6458333333333333,0.2553191489361702,0.2935323383084577,0.5684269862885412
547180,"Harper, Bryce",OF,0.821138211382114,0.6942148760330579,0.7291666666666666,0.2765957446808511,0.3094262295081967,0.5661083456541772
664040,"Lowe, Brandon",4,0.7886178861788619,0.8181818181818182,0.8125,0.14893617021276595,0.2467289719626168,0.5629929693072125
571745,"Haniger, Mitch",OF,0.894308943089431,0.8264462809917356,0.8125,0.02127659574468085,0.2532258064516129,0.5615515252554921
665742,"Soto, Juan",OF,0.902439024390244,0.7851239669421488,0.6041666666666666,0.19148936170212766,0.31274900398406374,0.5591936047370502
593871,"Polanco, Jorge",4,0.7886178861788619,0.8099173553719008,0.6875,0.23404255319148937,0.2687074829931973,0.5577570555470899
656775,"Mullins, Cedric",OF,0.7398373983739838,0.487603305785124,0.625,0.6382978723404256,0.29069767441860467,0.5562872501836276
518692,"Freeman, Freddie",3,0.9756097560975611,0.6859504132231405,0.6458333333333333,0.1702127659574468,0.3,0.5555212537222963
592450,"Judge, Aaron",OF,0.7235772357723578,0.8099173553719008,0.8125,0.1276595744680851,0.2872727272727273,0.5521853785770141
592518,"Machado, Manny",5,0.7479674796747968,0.8760330578512396,0.5833333333333333,0.2553191489361702,0.2783687943262411,0.5482043628243563
516782,"Marte, Starling",OF,0.7235772357723578,0.4545454545454546,0.25,1.0,0.31049250535331907,0.5477230391342263
593160,"Merrifield, Whit",4,0.7886178861788619,0.6115702479338843,0.20833333333333331,0.851063829787234,0.27710843373493976,0.5473387461936506
641933,"O'Neill, Tyler",OF,0.7235772357723578,0.6611570247933884,0.7083333333333333,0.3191489361702128,0.2863070539419087,0.5397047168022402
592206,"Castellanos, Nick",OF,0.7723577235772359,0.8264462809917356,0.7083333333333333,0.06382978723404255,0.3088512241054614,0.5359636698483616
514888,"Altuve, Jose",4,0.951219512195122,0.6859504132231405,0.6458333333333333,0.10638297872340426,0.2778702163061564,0.5334512907562313
595879,"Baez, Javier",6,0.6504065040650407,0.71900826446281,0.6458333333333333,0.3829787234042553,0.2649402390438247,0.5326334128618528
663656,"Tucker, Kyle",OF,0.6747967479674798,0.7603305785123967,0.625,0.2978723404255319,0.29446640316205536,0.5304932140134928
663586,"Riley, Austin",5,0.7398373983739838,0.8842975206611571,0.6875,0.0,0.30338983050847457,0.5230049499087231
594807,"Duvall, Adam",OF,0.5447154471544716,0.9338842975206612,0.7916666666666666,0.10638297872340426,0.22807017543859648,0.5209439131007599
666969,"Garcia, Adolis",OF,0.6260162601626017,0.743801652892562,0.6458333333333333,0.3404255319148936,0.24268502581755594,0.5197523608241894
670541,"Alvarez, Yordan",D,0.7479674796747968,0.859504132231405,0.6875,0.02127659574468085,0.2774674115456238,0.5187431238393013
571970,"Muncy, Max",3,0.7723577235772359,0.7768595041322315,0.75,0.0425531914893617,0.24949698189134809,0.5182534802180354
547989,"Abreu, Jose",3,0.6991869918699187,0.9669421487603306,0.625,0.02127659574468085,0.26148409893992935,0.514777967062972
624413,"Alonso, Pete",3,0.6585365853658537,0.7768595041322315,0.7708333333333333,0.06382978723404255,0.2620320855614973,0.5064182591253916
571448,"Arenado, Nolan",5,0.6585365853658537,0.8677685950413223,0.7083333333333333,0.0425531914893617,0.25463743676222594,0.5063658283984193
608336,"Gallo, Joey",OF,0.7317073170731708,0.6363636363636364,0.7916666666666666,0.1276595744680851,0.19879518072289157,0.49723847505889
668227,"Arozarena, Randy",OF,0.7642276422764228,0.5702479338842975,0.41666666666666663,0.425531914893617,0.2741020793950851,0.49015524742321787
458015,"Votto, Joey",3,0.5934959349593496,0.8181818181818182,0.75,0.02127659574468085,0.265625,0.48971586977716974
592669,"Renfroe, Hunter",OF,0.7235772357723578,0.7933884297520661,0.6458333333333333,0.02127659574468085,0.2591170825335892,0.4886385354272054
502110,"Martinez, J.D.",OF,0.7479674796747968,0.8181818181818182,0.5833333333333333,0.0,0.28596491228070176,0.4870895086941299
