player_id,name_full,primary_position,ab,r,h,rbi,hr,sb
408234,"Cabrera, Miguel",3,472,48,121,75,15,0
425877,"Molina, Yadier",2,440,45,111,66,11,3
435559,"Suzuki, Kurt",2,219,17,49,16,6,0
443558,"Cruz, Nelson",D,513,79,136,86,32,3
444482,"Peralta, David",7,487,57,126,63,8,2
444489,"Pina, Manny",2,180,27,34,33,13,0
444876,"Escobar, Alcides",4,319,53,92,28,4,3
446334,"Longoria, Evan",5,253,45,66,46,13,1
453568,"Blackmon, Charlie",9,514,76,139,78,13,3
455117,"Maldonado, Martin",2,373,40,64,36,12,0
455139,"Chirinos, Robinson",2,97,13,22,15,5,0
456715,"Cain, Lorenzo",8,257,40,66,36,8,13
456781,"Solano, Donovan",4,307,35,86,31,7,2
457705,"McCutchen, Andrew",7,482,78,107,80,27,6
457708,"Upton, Justin",7,318,47,67,41,17,4
457759,"Turner, Justin",5,533,87,148,87,27,3
458015,"Votto, Joey",3,448,73,119,99,36,1
462101,"Andrus, Elvis",6,497,60,121,37,3,12
467793,"Santana, Carlos",3,565,66,121,69,19,2
474832,"Belt, Brandon",3,325,65,89,59,29,3
488726,"Brantley, Michael",7,469,68,146,47,8,1
488771,"Castro, Jason",2,149,22,35,21,8,0
493329,"Gurriel, Yuli",3,530,83,169,81,15,1
500743,"Rojas, Miguel",6,495,66,131,48,9,13
500871,"Escobar, Eduardo",4,549,77,139,90,28,1
501303,"Adrianza, Ehire",5,182,32,45,28,5,0
502110,"Martinez, J.D.",7,570,92,163,99,28,0
502671,"Goldschmidt, Paul",3,603,102,177,99,31,12
514888,"Altuve, Jose",4,601,117,167,83,31,5
514917,"Hernandez, Cesar",4,570,84,132,62,21,1
516416,"Segura, Jean",4,514,76,149,58,14,9
516782,"Marte, Starling",8,467,89,145,55,12,47
518595,"d'Arnaud, Travis",2,209,21,46,26,7,0
518626,"Donaldson, Josh",5,457,73,113,72,26,0
518692,"Freeman, Freddie",3,600,120,180,83,31,8
518735,"Grandal, Yasmani",2,279,60,67,62,23,0
518792,"Heyward, Jason",9,323,35,69,30,8,5
518934,"LeMahieu, DJ",4,597,84,160,57,10,4
519058,"Moustakas, Mike",5,183,21,38,22,6,0
519203,"Rizzo, Anthony",3,496,73,123,61,22,6
519317,"Stanton, Giancarlo",D,510,64,139,97,35,0
521692,"Perez, Salvador",2,620,88,169,121,48,1
527038,"Flores, Wilmer",4,389,57,102,53,18,1
541645,"Garcia, Avisail",9,461,68,121,86,29,8
542303,"Ozuna, Marcell",7,188,21,40,26,7,0
542340,"Villar, Jonathan",5,454,63,113,42,18,14
542364,"Ortega, Rafael",9,296,44,86,33,11,12
542583,"Aguilar, Jesus",3,449,49,117,93,22,0
542932,"Berti, Jon",5,233,35,49,19,4,8
543063,"Crawford, Brandon",6,483,79,144,90,24,11
543068,"Cron, C.J.",3,470,70,132,92,28,1
543105,"Dickerson, Alex",7,283,37,66,38,13,1
543228,"Gomes, Yan",2,349,49,88,52,14,0
543257,"Grossman, Robbie",7,557,88,133,67,23,20
543281,"Harrison, Josh",4,505,58,141,60,8,9
543305,"Hicks, Aaron",8,108,13,21,14,4,0
543309,"Higashioka, Kyle",2,193,20,35,29,10,0
543333,"Hosmer, Eric",3,509,53,137,65,12,5
543510,"McCann, James",2,375,29,87,46,10,1
543543,"Miller, Brad",4,331,53,75,49,20,3
543592,"Nola, Austin",2,173,15,47,29,2,0
543685,"Rendon, Anthony",5,217,24,52,34,6,0
543760,"Semien, Marcus",4,652,115,173,102,45,15
543807,"Springer, George",O,299,59,79,50,22,4
543877,"Vazquez, Christian",2,458,51,118,49,6,8
543939,"Wong, Kolten",4,445,70,121,50,14,12
544369,"Gregorius, Didi",6,368,35,77,54,13,3
544725,"Garcia, Leury",8,415,60,111,54,5,6
545341,"Grichuk, Randal",8,511,59,123,81,22,0
545358,"Stassi, Max",2,282,45,68,35,13,0
545361,"Trout, Mike",8,117,23,39,18,8,2
546318,"Herrera, Odubel",8,450,59,117,51,13,6
546990,"Alford, Anthony",7,133,14,31,11,5,5
547180,"Harper, Bryce",9,488,101,151,84,35,13
547379,"Perez, Roberto",2,141,13,21,17,7,1
547989,"Abreu, Jose",3,566,86,148,117,30,1
553869,"Diaz, Elias",2,338,52,83,44,18,0
553882,"Narvaez, Omar",2,391,54,104,49,11,0
553993,"Suarez, Eugenio",5,505,71,100,79,31,0
570482,"Urshela, Gio",5,420,42,112,49,14,1
570731,"Schoop, Jonathan",3,623,85,173,84,22,2
571448,"Arenado, Nolan",5,593,81,151,105,34,2
571466,"Barnhart, Tucker",2,348,41,86,48,7,0
571657,"Farmer, Kyle",6,483,60,127,63,16,2
571745,"Haniger, Mitch",9,620,110,157,100,39,1
571771,"Hernandez, Enrique",8,508,84,127,60,20,1
571912,"Maile, Luke",2,30,6,9,3,0,0
571970,"Muncy, Max",3,497,95,124,94,36,2
571976,"Myers, Wil",9,442,56,113,63,17,8
571980,"Naquin, Tyler",8,411,52,111,70,19,5
572039,"Piscotty, Stephen",9,173,14,38,16,5,1
572041,"Pollock, AJ",7,384,53,114,69,21,9
