player_id,name_full,primary_position,ab,r,h,rbi,hr,sb
664057,"Stevenson, Andrew",8,41,11,15,12,2,2
664058,"Fletcher, David",4,207,31,66,18,3,2
664119,"Allen, Austin",2,31,1,6,3,1,0
664238,"Moore, Dylan",4,137,26,35,17,8,12
664314,"Florial, Estevan",8,3,0,1,0,0,0
664702,"Straw, Myles",8,82,8,17,8,0,6
664761,"Bohm, Alec",5,160,24,54,23,4,1
664774,"Wade Jr., LaMonte",7,39,3,9,1,0,1
664901,"Mendick, Danny",6,107,11,26,6,3,0
664913,"Brown, Seth",9,5,0,0,0,0,0
665120,"Walsh, Jared",3,99,19,29,26,9,0
665487,"Tatis Jr., Fernando",6,224,50,62,45,17,11
665489,"Guerrero Jr., Vladimir",3,221,34,58,33,9,1
665506,"Pache, Cristian",8,4,0,1,0,0,0
665561,"Marchan, Rafael",2,8,3,4,3,1,0
665742,"Soto, Juan",9,154,39,54,37,13,6
665750,"Taveras, Leody",8,119,20,27,6,4,8
665862,"Chisholm Jr., Jazz",4,56,8,9,6,2,2
665926,"Gimenez, Andres",6,118,22,31,12,3,8
665947,"Apostel, Sherten",5,20,1,2,0,0,0
666158,"Lux, Gavin",4,63,8,11,8,3,1
666160,"Moniak, Mickey",8,14,3,3,0,0,0
666176,"Adell, Jo",7,124,9,20,7,3,0
666182,"Bichette, Bo",6,123,18,37,23,5,4
666185,"Carlson, Dylan",8,110,11,22,16,3,1
666915,"Dalbec, Bobby",3,80,13,21,16,8,0
666931,"Oliva, Jared",8,16,0,3,0,0,1
666969,"Garcia, Adolis",8,6,0,0,0,0,0
666971,"Gurriel Jr., Lourdes",7,208,28,64,33,11,3
667670,"Rooker, Brent",7,19,4,6,5,1,0
668227,"Arozarena, Randy",9,64,15,18,11,7,4
668800,"Knizner, Andrew",2,16,1,4,4,0,0
668804,"Reynolds, Bryan",8,185,24,35,19,7,1
668942,"Rojas, Josh",9,61,9,11,2,0,1
669087,"Huff, Sam",2,31,5,11,4,3,0
669134,"Campusano, Luis",2,3,2,1,1,1,0
669221,"Murphy, Sean",2,116,21,27,14,7,0
669222,"Senzel, Nick",8,70,8,13,8,2,2
