player_id,name_full,w,sv,hld,so,er,bb,h,ip,SP,RP
425794,"Wainwright, Adam",5,0,0,54,23,15,54,65.66666666666667,True,False
425844,"Greinke, Zack",3,0,0,67,30,9,67,67.0,True,False
434378,"Verlander, Justin",1,0,0,7,2,1,3,6.0,False,False
445276,"Jansen, Kenley",3,11,0,33,9,9,19,24.333333333333332,False,True
446372,"Kluber, Corey",0,0,0,1,0,1,0,1.0,False,False
448179,"Hill, Rich",2,0,0,31,13,17,28,38.666666666666664,True,False
448281,"Doolittle, Sean",0,0,3,6,5,4,9,7.666666666666667,False,True
450203,"Morton, Charlie",2,0,0,42,20,10,43,38.0,True,False
453178,"Kennedy, Ian",0,0,2,15,14,5,20,14.0,False,True
453268,"Bard, Daniel",4,6,2,27,10,10,22,24.333333333333332,False,True
453286,"Scherzer, Max",5,0,0,92,28,23,70,67.1,True,False
453343,"Melancon, Mark",2,11,0,14,7,7,22,22.333333333333332,False,True
455119,"Martin, Chris",1,1,6,20,2,3,8,18.0,False,True
458677,"Wilson, Justin",2,0,10,23,8,9,18,19.333333333333332,False,True
458681,"Lynn, Lance",6,0,0,89,31,25,64,84.0,True,False
459429,"McGee, Jake",3,0,6,33,6,3,14,20.333333333333332,False,True
468504,"Chacin, Jhoulys",1,0,0,3,4,3,6,5.0,False,False
471911,"Carrasco, Carlos",3,0,0,82,22,27,55,68.0,True,False
472610,"Garcia, Luis",0,0,0,11,7,9,10,8.1,False,True
477132,"Kershaw, Clayton",6,0,0,62,14,8,41,58.333333333333336,True,False
489119,"Miley, Wade",0,0,0,12,9,9,15,14.1,True,False
489265,"Romo, Sergio",1,5,10,23,9,7,16,20.0,False,True
489334,"Stammen, Craig",4,0,6,20,15,4,27,24.0,False,True
493603,"Ottavino, Adam",2,0,2,25,12,9,20,18.333333333333332,False,True
500610,"Guerra, Deolis",1,0,0,8,7,2,10,7.1,False,True
500779,"Quintana, Jose",0,0,1,12,5,3,10,10.0,False,False
501381,"Pineda, Michael",2,0,0,25,10,7,25,26.333333333333332,True,False
501625,"Alvarez, Jose",0,0,2,6,1,3,7,6.1,False,True
501789,"Harris, Will",0,1,6,21,6,9,21,17.333333333333332,False,True
501985,"Minor, Mike",1,0,0,62,35,20,50,56.66666666666667,True,False
502043,"Gibson, Kyle",2,0,0,58,40,30,73,67.1,True,False
502171,"Cobb, Alex",2,0,0,38,25,18,52,52.333333333333336,True,False
502179,"Espino, Paolo",0,0,0,7,3,2,8,6.0,False,False
