player_id,name_full,primary_position,ab,r,h,rbi,hr,sb
405395,"Pujols, Albert",3,491,55,120,93,23,3
408234,"Cabrera, Miguel",3,493,41,139,59,12,0
425877,"Molina, Yadier",2,419,45,113,57,10,6
429664,"Cano, Robinson",4,390,46,100,39,13,0
435559,"Suzuki, Kurt",2,280,37,74,63,17,0
443558,"Cruz, Nelson",D,454,81,141,108,41,0
444482,"Peralta, David",7,382,48,105,57,12,0
444489,"Pina, Manny",2,158,10,36,25,7,0
446334,"Longoria, Evan",5,453,59,115,69,20,3
453568,"Blackmon, Charlie",9,580,112,182,86,32,2
455117,"Maldonado, Martin",2,333,46,71,27,12,0
455139,"Chirinos, Robinson",2,366,57,87,58,17,1
456715,"Cain, Lorenzo",8,562,75,146,48,11,18
456781,"Solano, Donovan",4,215,27,71,23,4,0
457705,"McCutchen, Andrew",7,219,45,56,29,10,2
457708,"Upton, Justin",7,219,34,47,40,12,1
457759,"Turner, Justin",5,479,80,139,67,27,2
458015,"Votto, Joey",3,525,79,137,47,15,5
462101,"Andrus, Elvis",6,600,81,165,72,12,31
467793,"Santana, Carlos",3,573,110,161,93,34,4
474832,"Belt, Brandon",3,526,76,123,57,17,4
476704,"Lowrie, Jed",4,7,0,0,0,0,0
488726,"Brantley, Michael",7,575,88,179,90,22,3
488771,"Castro, Jason",2,237,39,55,30,13,0
493329,"Gurriel, Yuli",3,564,85,168,104,31,5
500743,"Rojas, Miguel",6,483,52,137,46,5,9
500871,"Escobar, Eduardo",4,636,94,171,118,35,5
501303,"Adrianza, Ehire",5,202,34,55,22,5,0
502054,"Pham, Tommy",7,567,77,155,68,21,25
502110,"Martinez, J.D.",7,575,98,175,105,36,2
502671,"Goldschmidt, Paul",3,597,97,155,97,34,3
514888,"Altuve, Jose",4,500,89,149,74,31,6
514917,"Hernandez, Cesar",4,612,77,171,71,14,9
516416,"Segura, Jean",4,576,79,161,60,12,10
516782,"Marte, Starling",8,539,97,159,82,23,25
518595,"d'Arnaud, Travis",2,351,52,88,69,16,0
518626,"Donaldson, Josh",5,549,96,142,94,37,4
518692,"Freeman, Freddie",3,597,113,176,121,38,6
518735,"Grandal, Yasmani",2,513,79,126,77,28,5
518792,"Heyward, Jason",9,513,78,129,62,21,8
518934,"LeMahieu, DJ",4,602,109,197,102,26,5
519058,"Moustakas, Mike",5,523,80,133,87,35,3
519203,"Rizzo, Anthony",3,512,89,150,94,27,5
519317,"Stanton, Giancarlo",D,59,8,17,13,3,0
519390,"Vogt, Stephen",2,255,30,67,40,10,3
527038,"Flores, Wilmer",4,265,31,84,37,9,0
541645,"Garcia, Avisail",9,489,61,138,72,20,10
542303,"Ozuna, Marcell",7,485,80,117,89,29,12
542340,"Villar, Jonathan",5,642,111,176,73,24,40
542364,"Ortega, Rafael",9,88,7,18,10,2,3
542583,"Aguilar, Jesus",3,314,39,74,50,12,0
542932,"Berti, Jon",5,256,52,70,24,6,17
543063,"Crawford, Brandon",6,500,58,114,59,11,3
543068,"Cron, C.J.",3,458,51,116,78,25,0
543105,"Dickerson, Alex",7,174,29,48,28,6,1
543228,"Gomes, Yan",2,314,36,70,43,12,2
543257,"Grossman, Robbie",7,420,57,101,38,6,9
543281,"Harrison, Josh",4,137,10,24,8,1,4
543305,"Hicks, Aaron",8,221,41,52,36,12,1
543309,"Higashioka, Kyle",2,56,8,12,11,3,0
543333,"Hosmer, Eric",3,619,72,164,99,22,0
543510,"McCann, James",2,439,62,120,60,18,4
543543,"Miller, Brad",4,154,26,40,25,13,2
543592,"Nola, Austin",2,238,37,64,31,10,1
543685,"Rendon, Anthony",5,545,117,174,126,34,5
543760,"Semien, Marcus",4,657,123,187,92,33,10
543807,"Springer, George",O,479,96,140,96,39,6
543877,"Vazquez, Christian",2,482,66,133,72,23,4
543939,"Wong, Kolten",4,478,61,136,59,11,24
544369,"Gregorius, Didi",6,324,47,77,61,16,2
544725,"Garcia, Leury",8,577,93,161,40,8,15
545341,"Grichuk, Randal",8,586,75,136,80,31,2
545358,"Stassi, Max",2,132,7,18,5,1,0
545361,"Trout, Mike",8,470,110,137,104,45,11
546318,"Herrera, Odubel",8,126,12,28,16,1,2
546990,"Alford, Anthony",7,28,3,5,1,1,2
547180,"Harper, Bryce",9,573,98,149,114,35,15
547379,"Perez, Roberto",2,389,46,93,63,24,0
547989,"Abreu, Jose",3,634,85,180,123,33,2
553869,"Diaz, Elias",2,303,31,73,28,2,0
553882,"Narvaez, Omar",2,428,63,119,55,22,0
553993,"Suarez, Eugenio",5,575,87,156,103,49,3
570482,"Urshela, Gio",5,442,73,139,74,21,1
570731,"Schoop, Jonathan",3,433,61,111,59,23,1
571448,"Arenado, Nolan",5,588,102,185,118,41,3
571466,"Barnhart, Tucker",2,316,32,73,40,11,1
571657,"Farmer, Kyle",6,183,22,42,27,9,4
571745,"Haniger, Mitch",9,246,46,54,32,15,4
571771,"Hernandez, Enrique",8,414,57,98,64,17,4
571912,"Maile, Luke",2,119,9,18,9,2,1
571970,"Muncy, Max",3,487,101,122,98,35,4
571976,"Myers, Wil",9,435,58,104,53,18,16
571980,"Naquin, Tyler",8,274,34,79,34,10,4
572039,"Piscotty, Stephen",9,357,46,89,44,13,2
572041,"Pollock, AJ",7,308,49,82,47,15,5
572191,"Taylor, Michael A.",8,88,10,22,3,1,6
572228,"Voit, Luke",3,429,72,113,62,21,0
572233,"Walker, Christian",3,529,86,137,73,29,8
572287,"Zunino, Mike",2,266,30,44,32,9,0
572816,"Dickerson, Corey",7,260,33,79,59,12,1
572863,"Garneau, Dustin",2,86,14,21,14,3,0
573262,"Yastrzemski, Mike",9,371,64,101,55,21,2
575929,"Contreras, Willson",2,360,57,98,64,24,1
578428,"Iglesias, Jose",6,504,62,145,59,11,6
592178,"Bryant, Kris",7,543,108,153,77,31,4
592192,"Canha, Mark",7,410,80,112,58,26,3
592200,"Casali, Curt",2,207,24,52,32,8,0
592206,"Castellanos, Nick",9,615,100,178,73,27,2
592325,"Gamel, Ben",7,311,47,77,33,7,2
592348,"Goodrum, Niko",6,423,61,105,45,12,12
592450,"Judge, Aaron",9,378,75,103,55,27,3
592518,"Machado, Manny",5,587,81,150,85,32,5
592567,"Moran, Colin",3,466,46,129,80,13,0
592626,"Pederson, Joc",7,450,83,112,74,36,1
592663,"Realmuto, J.T.",2,538,92,148,83,25,9
592669,"Renfroe, Hunter",9,440,64,95,64,33,5
592696,"Rosario, Eddie",7,562,91,155,109,32,3
592743,"Simmons, Andrelton",6,398,47,105,40,7,10
592885,"Yelich, Christian",7,489,100,161,97,44,30
593160,"Merrifield, Whit",4,681,105,206,74,16,20
593428,"Bogaerts, Xander",6,614,110,190,117,33,4
593643,"Alberto, Hanser",5,524,62,160,51,12,4
593871,"Polanco, Jorge",4,631,107,186,79,22,4
593934,"Sano, Miguel",3,380,76,94,79,34,0
594777,"Calhoun, Kole",9,552,92,128,74,33,4
594807,"Duvall, Adam",9,120,17,32,19,10,0
595281,"Kiermaier, Kevin",8,447,60,102,55,14,19
595751,"Alfaro, Jorge",2,431,44,113,57,18,4
595777,"Profar, Jurickson",7,459,65,100,67,20,9
595879,"Baez, Javier",6,531,89,149,85,29,11
595956,"Gallagher, Cam",2,126,14,30,12,3,0
595978,"Hedges, Austin",2,312,28,55,36,11,1
596019,"Lindor, Francisco",6,598,101,170,74,32,22
596059,"Odor, Rougned",4,522,77,107,93,30,11
596103,"Slater, Austin",8,168,20,40,21,5,1
596115,"Story, Trevor",6,588,111,173,85,35,23
596117,"Stubbs, Garrett",2,35,8,7,2,0,1
596129,"Vogelbach, Daniel",3,462,73,96,76,30,0
596142,"Sanchez, Gary",2,396,62,92,77,34,0
596146,"Kepler, Max",9,524,98,132,90,36,1
596847,"Choi, Ji-Man",3,410,54,107,63,19,2
598265,"Bradley Jr., Jackie",8,494,69,111,62,21,8
600303,"La Stella, Tommy",4,292,49,86,44,16,0
600474,"Severino, Pedro",2,305,37,76,44,13,3
600869,"Candelario, Jeimer",5,335,33,68,32,8,3
602074,"Daza, Yonathan",8,97,7,20,3,0,1
605113,"Ahmed, Nick",6,556,79,141,82,19,8
605119,"Anderson, Brian",5,459,57,120,66,20,5
605131,"Barnes, Austin",2,212,28,43,25,5,3
605137,"Bell, Josh",3,527,94,146,116,37,0
605141,"Betts, Mookie",9,597,135,176,80,29,16
