player_id,name_full,w,sv,hld,so,er,bb,h,ip,SP,RP
425794,"Wainwright, Adam",14,0,0,153,80,64,181,171.33333333333334,True,False
425844,"Greinke, Zack",18,0,0,187,68,30,175,208.66666666666666,True,False
434378,"Verlander, Justin",21,0,0,300,64,42,137,223.0,True,False
445276,"Jansen, Kenley",5,33,0,80,26,16,51,63.0,False,True
446372,"Kluber, Corey",2,0,0,38,23,15,44,35.666666666666664,True,False
448179,"Hill, Rich",4,0,0,72,16,18,48,58.666666666666664,True,False
448281,"Doolittle, Sean",6,29,2,66,27,15,63,60.0,False,True
450203,"Morton, Charlie",16,0,0,240,66,57,154,194.33333333333334,True,False
453178,"Kennedy, Ian",3,30,1,73,24,17,64,63.333333333333336,False,True
453286,"Scherzer, Max",11,0,0,243,56,33,144,172.1,True,False
453343,"Melancon, Mark",5,12,5,68,27,18,71,67.33333333333334,False,True
455119,"Martin, Chris",1,4,18,65,21,5,52,55.33333333333333,False,True
456034,"Price, David",7,0,0,128,51,32,109,107.1,True,False
458677,"Wilson, Justin",4,4,9,44,11,19,33,39.0,False,True
458681,"Lynn, Lance",16,0,0,246,85,59,195,208.1,True,False
459429,"McGee, Jake",0,0,4,35,20,11,47,41.333333333333336,False,True
468504,"Chacin, Jhoulys",3,0,0,101,69,46,115,103.0,True,False
471911,"Carrasco, Carlos",6,1,1,96,47,16,92,80.0,True,True
472610,"Garcia, Luis",2,1,6,57,30,33,61,62.0,False,True
477132,"Kershaw, Clayton",16,0,0,189,60,41,145,178.1,True,False
489119,"Miley, Wade",14,0,0,140,74,61,164,167.1,True,False
489265,"Romo, Sergio",2,20,17,60,23,17,50,60.0,False,True
489334,"Stammen, Craig",8,4,31,73,30,15,80,82.0,False,True
493603,"Ottavino, Adam",6,2,28,88,14,40,47,66.1,False,True
500610,"Guerra, Deolis",0,0,0,0,4,0,4,0.6666666666666666,False,False
500779,"Quintana, Jose",13,0,1,152,89,46,191,171.0,True,False
501381,"Pineda, Michael",11,0,0,140,65,28,141,146.0,True,False
501625,"Alvarez, Jose",3,1,16,51,22,18,66,59.0,False,True
501789,"Harris, Will",4,4,26,62,10,14,42,60.0,False,True
501925,"Smith, Joe",1,0,4,22,5,5,19,25.0,False,True
501985,"Minor, Mike",14,0,0,200,83,68,190,208.1,True,False
502042,"Archer, Chris",3,0,0,143,69,55,114,119.66666666666667,True,False
502043,"Gibson, Kyle",13,0,2,160,86,56,175,160.0,True,True
502085,"Robertson, David",0,0,2,6,4,6,8,6.666666666666667,False,True
502171,"Cobb, Alex",0,0,0,8,15,2,21,12.1,True,False
502202,"Boxberger, Brad",1,1,0,27,16,17,25,26.333333333333332,False,True
506433,"Darvish, Yu",6,0,0,229,79,56,140,178.33333333333334,True,False
517008,"Colome, Alex",4,30,0,55,19,23,42,61.0,False,True
518489,"Brasier, Ryan",2,7,10,61,30,21,51,55.666666666666664,False,True
518516,"Bumgarner, Madison",9,0,0,203,90,43,191,207.33333333333334,True,False
518553,"Cishek, Steve",4,7,11,57,21,29,48,64.0,False,True
518617,"Diekman, Jake",1,0,31,84,32,39,49,62.0,False,True
518633,"Duffy, Danny",7,0,0,115,63,46,125,130.33333333333334,True,False
518876,"Kelly, Merrill",13,0,0,158,90,57,184,183.1,True,False
518886,"Kimbrel, Craig",0,13,0,30,15,12,21,20.333333333333332,False,True
519008,"McFarland, T.J.",0,0,9,35,30,20,71,56.0,False,True
