player_id,name_full,w,sv,hld,so,er,bb,h,ip,SP,RP
641582,"Foster, Matt",2,1,2,40,26,13,43,39.0,False,True
641672,"Hatch, Thomas",0,0,0,8,7,6,11,9.1,False,False
641682,"Hendrix, Ryan",5,0,3,35,21,16,33,31.333333333333332,False,True
641703,"Honeywell Jr., Brent",0,0,1,4,4,3,5,4.1,False,False
641712,"Hudson, Dakota",1,0,0,6,2,1,7,8.333333333333334,False,False
641726,"Jefferies, Daulton",1,0,0,8,6,4,11,15.0,False,False
641729,"Jimenez, Joe",6,1,5,57,30,35,34,45.333333333333336,False,True
641743,"Kay, Anthony",1,0,0,39,21,18,38,33.666666666666664,True,True
641745,"Keller, Brad",8,0,0,120,80,64,158,133.33333333333334,True,False
641755,"Kinley, Tyler",3,0,10,68,37,26,59,70.1,False,True
641771,"Kuhl, Chad",5,0,4,75,43,42,73,80.1,True,True
641778,"Lauer, Eric",7,0,2,117,42,41,94,118.66666666666667,True,False
641793,"Littell, Zack",4,2,7,63,20,24,46,61.666666666666664,False,True
641816,"Mahle, Tyler",13,0,0,210,75,64,158,180.0,True,False
641835,"Mayza, Tim",5,1,19,57,20,12,40,53.0,False,True
641907,"Murphy, Patrick",0,0,5,29,16,10,31,27.43333333333333,False,True
641927,"Ober, Bailey",3,0,0,96,43,19,92,92.1,True,False
641941,"Pagan, Emilio",4,0,17,69,34,18,56,63.333333333333336,False,True
642028,"Rogers, Josh",2,0,0,22,13,14,32,35.666666666666664,True,False
642048,"Saucedo, Tayler",0,0,1,19,13,10,22,25.333333333333332,False,True
642068,"Sheffield, Jordan",0,0,4,20,11,13,19,29.333333333333332,False,True
642100,"Speier, Gabe",0,0,0,5,1,0,10,7.666666666666667,False,True
642121,"Sulser, Cole",5,8,6,73,19,23,48,63.333333333333336,False,True
642130,"Taylor, Blake",4,0,5,41,15,22,38,42.666666666666664,False,True
642152,"Trivino, Lou",7,22,8,67,26,34,58,73.66666666666667,False,True
642203,"Widener, Taylor",2,0,1,73,34,37,65,70.1,True,True
642207,"Williams, Devin",8,3,23,87,15,28,36,54.0,False,True
642232,"Yarbrough, Ryan",9,0,0,117,88,27,163,155.0,True,True
