player_id,name_full,w,so,sv/hld,era,whip,score
642207,"Williams, Devin",0.6666666666666666,1.0,0.5294117647058824,0.983127572016461,0.9639006094702297,0.8286213225718478
521230,"Hendriks, Liam",0.5,0.6862745098039216,0.8235294117647058,0.9100877192982456,0.95236508994004,0.7744513461613826
664126,"Fairbanks, Pete",1.0,0.7254901960784313,0.4117647058823529,0.8616033755274262,0.7479570581637558,0.7493630671303932
543272,"Hand, Brad",0.3333333333333333,0.5294117647058824,1.0,0.8964646464646465,0.9240506329113924,0.736652075483051
628452,"Iglesias, Raisel",0.6666666666666666,0.5686274509803921,0.5882352941176471,0.8613526570048309,0.8849752339020364,0.7139714605343146
518617,"Diekman, Jake",0.3333333333333333,0.5686274509803921,0.7647058823529411,0.9786458333333333,0.8781645569620252,0.704695411392405
641582,"Foster, Matt",1.0,0.5686274509803921,0.11764705882352941,0.8874509803921569,0.8935219657483247,0.6934494911888807
445276,"Jansen, Kenley",0.5,0.607843137254902,0.6470588235294118,0.8315068493150685,0.818796601352523,0.681041082290381
675916,"Karinchak, James",0.16666666666666666,1.0,0.5294117647058824,0.8650205761316873,0.829817158931083,0.6781832332870639
621242,"Diaz, Edwin",0.3333333333333333,0.9411764705882353,0.4117647058823529,0.9100877192982456,0.787475016655563,0.676767449151546
594577,"Mayers, Mike",0.3333333333333333,0.803921568627451,0.4117647058823529,0.8937037037037037,0.8886075949367088,0.6662661812967099
643511,"Rogers, Tyler",0.5,0.4901960784313726,0.7647058823529411,0.7722222222222223,0.77124773960217,0.6596743845217412
608648,"Duffey, Tyler",0.16666666666666666,0.5686274509803921,0.7058823529411764,0.9050925925925926,0.9187763713080169,0.6530090868977689
459429,"McGee, Jake",0.5,0.607843137254902,0.3529411764705882,0.8655737704918033,0.906412118696825,0.6465540405828237
643338,"Green, Chad",0.5,0.5882352941176471,0.4117647058823529,0.8201754385964912,0.908394403730846,0.6457139684654675
453268,"Bard, Daniel",0.6666666666666666,0.4901960784313726,0.47058823529411764,0.8127853881278538,0.7730189006415814,0.6426510538323184
554431,"Matzek, Tyler",0.6666666666666666,0.803921568627451,0.058823529411764705,0.8586206896551725,0.8223483195111305,0.6420761547744371
542585,"Cisnero, Jose",0.5,0.6274509803921569,0.4117647058823529,0.8446969696969697,0.8259493670886076,0.6419724046120174
650895,"Castillo, Diego",0.5,0.4117647058823529,0.5294117647058824,0.9145833333333333,0.839003164556962,0.638952593695706
623352,"Hader, Josh",0.16666666666666666,0.5686274509803921,0.7647058823529411,0.808187134502924,0.8754163890739507,0.636720704715375
650893,"Cabrera, Genesis",0.6666666666666666,0.5882352941176471,0.23529411764705882,0.8776119402985074,0.8150387303986396,0.6365693498257039
605130,"Barlow, Scott",0.3333333333333333,0.7254901960784313,0.5294117647058824,0.7874074074074074,0.8050632911392406,0.6361411985328591
642547,"Peralta, Freddy",0.5,0.8823529411764706,0.1764705882352941,0.7981060606060606,0.8164556962025317,0.6346770572440714
608371,"Sims, Lucas",0.5,0.6274509803921569,0.29411764705882354,0.8741228070175439,0.8754163890739507,0.634221564708495
517008,"Colome, Alex",0.3333333333333333,0.27450980392156865,0.7058823529411764,0.9592039800995025,0.8773852257698848,0.6300629392130931
543507,"May, Trevor",0.16666666666666666,0.7058823529411765,0.6470588235294118,0.8047619047619048,0.8169981916817359,0.6282735879161792
621295,"Wittgren, Nick",0.3333333333333333,0.5098039215686275,0.5882352941176471,0.8242857142857143,0.8528028933092224,0.621692231322909
622251,"Staumont, Josh",0.3333333333333333,0.6862745098039216,0.47058823529411764,0.8741228070175439,0.7435043304463691,0.6215646431790571
663432,"Rainey, Tanner",0.16666666666666666,0.5882352941176471,0.5294117647058824,0.8655737704918033,0.9338036937123884,0.6167382379388775
595014,"Treinen, Blake",0.5,0.3921568627450981,0.5882352941176471,0.8021929824561403,0.7984676882078614,0.6162105655053494
489265,"Romo, Sergio",0.16666666666666666,0.4117647058823529,0.8823529411764706,0.795,0.8189873417721519,0.6149543310995285
543339,"Hudson, Daniel",0.5,0.5098039215686275,0.5882352941176471,0.6863387978142076,0.7831500311267897,0.6135056089254544
607625,"Lugo, Seth",0.5,0.8823529411764706,0.1764705882352941,0.739090909090909,0.7594936708860759,0.6114816218777499
598264,"Barnes, Matt",0.16666666666666666,0.5686274509803921,0.7647058823529411,0.7821256038647343,0.75178866263071,0.6067828532990889
542914,"Bass, Anthony",0.3333333333333333,0.37254901960784315,0.6470588235294118,0.8201754385964912,0.8534310459693537,0.6053095322072866
519151,"Pressly, Ryan",0.16666666666666666,0.5294117647058824,0.7058823529411764,0.8264550264550264,0.7679324894514769,0.5992696600440457
554340,"Garcia, Yimi",0.5,0.33333333333333337,0.29411764705882354,0.9696296296296296,0.8793248945147679,0.5952811009073109
670056,"Baragar, Caleb",0.8333333333333333,0.33333333333333337,0.11764705882352941,0.7960199004975124,0.8649159266956357,0.5890499105366688
605447,"Romano, Jordan",0.3333333333333333,0.37254901960784315,0.4117647058823529,0.9364341085271318,0.8866647041507213,0.5881491743002766
608717,"Stratton, Chris",0.3333333333333333,0.7254901960784313,0.29411764705882354,0.8025925925925926,0.7772151898734178,0.5865497917873197
573124,"Rogers, Taylor",0.3333333333333333,0.43137254901960786,0.6470588235294118,0.795,0.7215189873417721,0.5856567386448249
571901,"Loup, Aaron",0.5,0.3921568627450981,0.23529411764705882,0.8724444444444445,0.9053164556962026,0.5810423761065608
624647,"Gonzalez, Victor",0.5,0.4117647058823529,0.11764705882352941,0.9327868852459016,0.9338036937123884,0.5792004687328344
